[Plot for blah, 8.0 136.0 105.0, 120.0 238.0 199.0]
[124.0, 40.0, 40.0]
[124.19607843137256, 40.0, 40.0]
[124.3921568627451, 40.0, 40.0]
[124.58823529411765, 40.0, 40.0]
[124.7843137254902, 40.0, 12.430830039525691]
[124.98039215686275, 19.42687747035573, 12.490118577075098]
[125.17647058823529, 28.85375494071146, 12.134387351778656]
[125.37254901960785, 38.39920948616601, 12.371541501976285]
[125.56862745098039, 35.55335968379447, 12.134387351778656]
[125.76470588235294, 33.18181818181818, 12.371541501976285]
[125.96078431372548, 30.632411067193676, 12.490118577075098]
[126.15686274509804, 28.379446640316203, 12.134387351778656]
[126.3529411764706, 25.41501976284585, 11.956521739130434]
[126.54901960784314, 22.272727272727273, 12.07509881422925]
[126.74509803921569, 17.58893280632411, 12.07509881422925]
[126.94117647058823, 15.276679841897234, 12.193675889328063]
[127.13725490196079, 13.794466403162055, 12.134387351778656]
[127.33333333333333, 13.023715415019762, 12.430830039525691]
[127.52941176470588, 12.90513833992095, 12.193675889328063]
[127.72549019607843, 12.371541501976285, 12.07509881422925]
[127.92156862745098, 40.0, 12.549407114624508]
[128.11764705882354, 40.0, 12.134387351778656]
[128.31372549019608, 40.0, 12.312252964426879]
[128.50980392156862, 40.0, 12.430830039525691]
[128.7058823529412, 40.0, 12.134387351778656]
[128.90196078431373, 40.0, 12.015810276679844]
[129.09803921568627, 40.0, 12.371541501976285]
[129.2941176470588, 40.0, 12.134387351778656]
[129.49019607843138, 40.0, 12.490118577075098]
[129.68627450980392, 12.134387351778656, 12.549407114624508]
[129.88235294117646, 12.430830039525691, 13.201581027667984]
[130.078431372549, 12.371541501976285, 13.49802371541502]
[130.27450980392157, 12.07509881422925, 14.150197628458496]
[130.47058823529412, 11.660079051383399, 15.217391304347824]
[130.66666666666666, 12.07509881422925, 15.632411067193676]
[130.86274509803923, 12.134387351778656, 16.16600790513834]
[131.05882352941177, 12.252964426877469, 17.529644268774703]
[131.2549019607843, 12.07509881422925, 20.25691699604743]
[131.45098039215685, 12.015810276679844, 23.57707509881423]
[131.64705882352942, 12.371541501976285, 23.873517786561266]
[131.84313725490196, 12.07509881422925, 22.272727272727273]
[132.0392156862745, 12.134387351778656, 21.620553359683793]
[132.23529411764707, 12.134387351778656, 20.138339920948617]
[132.4313725490196, 12.252964426877469, 18.656126482213438]
[132.62745098039215, 12.490118577075098, 18.122529644268774]
[132.8235294117647, 12.07509881422925, 16.877470355731226]
[133.01960784313727, 12.371541501976285, 16.343873517786562]
[133.2156862745098, 12.015810276679844, 16.047430830039527]
[133.41176470588235, 12.07509881422925, 14.268774703557312]
[133.6078431372549, 12.015810276679844, 13.557312252964426]
[133.80392156862746, 12.07509881422925, 13.083003952569172]
[134.0, 12.015810276679844, 12.964426877470355]
[134.19607843137254, 12.07509881422925, 12.727272727272727]
[134.3921568627451, 12.134387351778656, 12.66798418972332]
[134.58823529411765, 11.778656126482215, 12.964426877470355]
[134.7843137254902, 12.07509881422925, 12.549407114624508]
[134.98039215686273, 40.0, 12.312252964426879]
[135.1764705882353, 40.0, 12.371541501976285]
[135.37254901960785, 40.0, 40.0]
[135.5686274509804, 40.0, 40.0]
[135.76470588235293, 40.0, 40.0]
[135.9607843137255, 40.0, 40.0]
